#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.210	510	28.234	559
28.260	488	28.286	538
28.311	463	28.336	517
28.361	440	28.387	494
28.413	416	28.437	473
28.463	396	28.488	453
28.514	380	28.539	438
28.564	367	28.590	426
28.615	360	28.640	419
28.666	358	28.691	416
28.717	362	28.741	418
28.767	370	28.793	426
28.818	383	28.843	437
28.868	400	28.894	453
28.920	420	28.944	472
28.970	442	28.995	494
29.021	466	29.045	515
29.071	490	29.097	538
29.122	512	29.148	560
29.172	532	29.198	578
29.224	548	29.249	594
29.274	560	29.299	605
29.325	568	29.351	612
29.375	570	29.401	613
29.426	567	29.452	612
29.477	558	29.502	604
29.528	545	29.553	591
29.578	528	29.604	576
29.629	508	29.655	556
29.679	485	29.705	535
29.731	462	29.756	512
29.781	439	29.806	490
29.832	417	29.858	470
29.882	398	29.908	450
29.933	382	29.959	436
29.983	370	30.009	424
30.035	364	30.060	417
30.085	363	30.110	416
30.136	366	30.162	418
30.186	374	30.212	427
30.237	387	30.263	440
30.288	403	30.313	456
30.339	423	30.364	475
30.389	444	30.415	497
30.440	467	30.466	519
30.490	490	30.516	541
30.542	512	30.567	562
30.592	531	30.617	581
30.643	546	30.669	595
30.693	558	30.719	606
30.744	564	30.770	612
30.794	567	30.820	614
30.846	563	30.871	609
30.896	554	30.921	602
30.947	542	30.973	589
30.997	525	31.023	572
31.048	505	31.074	553
31.099	484	31.124	531
31.150	461	31.175	509
31.200	440	31.226	487
31.251	418	31.277	466
31.301	399	31.327	448
31.353	385	31.378	433
31.403	374	31.428	423
31.454	368	31.480	417
31.504	367	31.530	416
31.555	370	31.581	421
31.605	376	31.631	430
31.657	390	31.682	443
31.707	406	31.732	461
31.758	425	31.784	480
31.808	446	31.834	501
31.859	468	31.885	524
31.910	490	31.935	545
31.961	510	31.986	566
32.011	529	32.037	583
32.062	544	32.088	597
32.112	555	32.138	607
32.164	562	32.189	613
32.214	562	32.239	614
32.265	559	32.291	608
32.315	551	32.341	599
32.366	539	32.392	585
32.416	523	32.442	568
32.468	504	32.493	549
32.518	483	32.543	527
32.569	462	32.595	505
32.619	439	32.645	483
32.670	419	32.696	463
32.721	401	32.746	446
32.772	387	32.797	432
32.823	376	32.848	423
32.873	371	32.899	418
32.924	369	32.949	418
32.975	372	33.000	423
33.026	380	33.050	433
33.076	392	33.102	447
33.127	407	33.152	464
33.177	426	33.203	484
33.229	447	33.253	505
33.279	469	33.304	527
33.330	490	33.354	550
33.380	509	33.406	570
33.431	527	33.456	586
33.481	542	33.507	598
33.533	552	33.557	607
33.583	559	33.608	612
33.634	560	33.659	611
33.684	557	33.710	607
33.735	549	33.760	596
33.786	536	33.811	582
33.837	521	33.861	564
33.887	503	33.913	544
33.938	482	33.963	523
33.988	461	34.014	501
34.040	440	34.064	479
34.090	421	34.115	460
34.141	404	34.165	443
34.191	389	34.217	431
34.242	378	34.267	423
34.292	373	34.318	418
34.344	371	34.368	419
34.394	375	34.419	426
34.445	383	34.470	435
34.495	394	34.521	451
34.546	410	34.571	469
34.597	428	34.622	488
34.648	448	34.672	510
34.698	468	34.724	531
34.749	490	34.774	553
34.799	509	34.825	573
34.851	526	34.875	587
34.901	540	34.926	600
34.952	550	34.976	607
35.002	557	35.028	611
35.053	558	35.078	609
35.103	555	35.129	602
35.155	547	35.179	593
35.205	535	35.230	578
35.256	520	35.281	560
35.306	502	35.332	540
35.357	482	35.382	518
35.408	461	35.433	497
35.459	440	35.483	476
35.509	421	35.535	457
35.560	405	35.585	442
35.610	391	35.636	430
35.662	381	35.686	423
35.712	375	35.737	420
35.763	373	35.787	422
35.813	377	35.839	429
35.864	384	35.890	440
35.914	396	35.940	455
35.966	411	35.991	473
36.016	429	36.041	493
36.067	449	36.093	514
36.117	468	36.143	535
36.168	489	36.194	556
36.219	508	36.244	574
36.270	525	36.295	589
36.320	540	36.346	600
36.371	549	36.397	606
36.421	555	36.447	609
36.473	556	36.498	606
36.523	554	36.548	599
36.574	546	36.600	588
36.624	534	36.650	573
36.675	519	36.701	555
