#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
20.758	485	20.783	541
20.809	496	20.834	537
20.859	503	20.885	532
20.910	504	20.936	527
20.960	500	20.986	522
21.012	490	21.037	517
21.062	476	21.087	514
21.113	459	21.139	510
21.163	438	21.189	508
21.214	416	21.240	506
21.265	392	21.290	506
21.316	370	21.341	507
21.366	349	21.392	509
21.417	331	21.443	512
21.467	318	21.493	515
21.518	308	21.544	518
21.569	304	21.594	521
21.620	304	21.645	525
21.671	310	21.696	530
21.721	321	21.747	533
21.772	335	21.797	536
21.823	353	21.848	537
21.874	375	21.898	539
21.924	398	21.950	540
21.975	422	22.000	540
22.025	444	22.051	539
22.077	464	22.101	537
22.127	481	22.152	536
22.178	493	22.203	534
22.228	502	22.254	531
22.279	504	22.304	529
22.329	502	22.355	527
22.381	495	22.405	524
22.431	482	22.456	522
22.482	466	22.507	520
22.532	446	22.558	519
22.583	424	22.608	518
22.634	401	22.659	518
22.685	378	22.709	518
22.735	356	22.761	518
22.786	338	22.811	519
22.836	321	22.862	519
22.888	312	22.912	521
22.938	305	22.963	522
22.989	304	23.014	523
23.039	309	23.065	524
23.090	317	23.115	525
23.140	330	23.166	527
23.192	348	23.216	527
23.242	368	23.267	527
23.293	391	23.318	529
23.343	412	23.369	529
23.394	436	23.419	529
23.445	457	23.470	530
23.496	474	23.520	530
23.546	488	23.572	530
23.597	498	23.622	529
23.647	502	23.673	529
23.699	502	23.723	530
23.749	496	23.774	530
23.800	486	23.825	529
23.850	471	23.876	529
23.901	452	23.926	528
23.952	432	23.977	528
24.003	409	24.027	528
24.053	387	24.078	527
24.104	365	24.129	527
24.154	345	24.180	526
24.205	329	24.230	525
24.256	316	24.281	524
24.307	309	24.331	524
24.357	305	24.383	522
24.408	308	24.433	521
24.458	315	24.484	521
24.510	328	24.534	520
24.560	342	24.585	520
24.611	362	24.636	519
24.661	383	24.687	519
24.712	405	24.738	519
24.763	427	24.788	520
24.814	448	24.839	522
24.864	466	24.889	523
24.915	482	24.941	525
24.965	493	24.991	527
25.016	498	25.042	529
25.067	500	25.092	531
25.118	496	25.143	533
25.168	488	25.194	535
25.219	475	25.245	536
25.269	458	25.295	537
25.321	440	25.346	537
25.371	417	25.396	537
25.422	396	25.448	537
25.472	374	25.498	535
25.523	354	25.549	534
25.574	337	25.599	531
25.625	323	25.650	528
25.675	315	25.700	526
25.726	310	25.752	523
25.776	311	25.802	520
25.827	316	25.853	517
25.878	326	25.903	514
25.929	339	25.954	512
25.979	356	26.005	511
26.030	376	26.056	511
26.080	397	26.106	510
26.132	419	26.157	511
26.182	439	26.207	514
26.233	458	26.259	516
26.283	474	26.309	519
26.334	486	26.360	523
26.385	493	26.410	527
26.436	497	26.461	531
26.486	495	26.512	535
26.537	488	26.563	538
26.587	478	26.613	542
26.638	462	26.664	544
26.689	444	26.714	545
26.740	424	26.765	546
26.790	404	26.816	545
26.841	383	26.867	543
26.891	364	26.917	542
26.943	346	26.968	538
26.993	332	27.018	534
27.044	322	27.070	529
27.094	316	27.120	524
27.145	314	27.171	519
27.196	318	27.221	514
27.247	326	27.272	510
27.297	338	27.323	507
27.348	353	27.374	504
27.398	370	27.424	503
27.449	390	27.475	502
27.500	410	27.525	504
27.551	431	27.576	505
27.601	449	27.627	508
27.652	465	27.678	512
27.702	478	27.728	519
27.754	487	27.779	523
27.804	491	27.829	530
27.855	491	27.881	536
27.905	486	27.931	541
27.956	477	27.982	545
28.007	464	28.032	550
28.058	449	28.083	553
28.108	430	28.134	554
28.159	411	28.185	554
28.209	391	28.235	552
28.260	372	28.286	550
28.311	355	28.336	545
28.362	341	28.387	540
28.412	330	28.438	534
28.463	323	28.489	527
28.513	320	28.539	520
28.565	322	28.590	514
28.615	328	28.640	508
28.666	338	28.692	503
28.716	351	28.742	498
28.767	367	28.793	496
28.818	384	28.843	494
28.869	403	28.894	495
28.919	423	28.945	497
28.970	440	28.996	501
29.020	456	29.046	506
29.072	469	29.097	513
29.122	479	29.147	520
29.173	484	29.198	527
29.223	485	29.249	535
29.274	482	29.300	542
29.324	475	29.350	548
29.376	465	29.401	554
29.426	451	29.451	558
29.477	435	29.503	561
29.527	417	29.553	561
29.578	399	29.604	560
29.629	381	29.654	557
29.680	365	29.705	552
29.730	351	29.756	546
29.781	340	29.807	539
29.831	332	29.857	531
29.883	329	29.908	523
29.933	328	29.958	514
29.984	332	30.009	506
30.034	341	30.060	499
30.085	351	30.111	494
30.135	365	30.161	490
30.187	381	30.212	488
30.237	398	30.262	488
30.288	415	30.314	489
30.338	432	30.364	493
30.389	446	30.415	499
30.440	459	30.465	506
30.491	469	30.516	514
30.541	475	30.567	523
30.592	478	30.618	532
30.642	476	30.668	542
30.694	471	30.719	550
30.744	464	30.769	557
30.795	452	30.820	562
30.845	438	30.871	566
30.896	422	30.922	568
30.946	406	30.972	568
30.998	389	31.023	564
31.048	375	31.073	559
31.099	361	31.125	552
31.149	350	31.175	544
31.200	343	31.226	535
31.251	337	31.276	525
31.302	336	31.327	516
31.352	339	31.378	507
31.403	344	31.429	498
31.453	352	31.479	491
31.505	364	31.530	485
31.555	377	31.580	482
31.606	393	31.632	481
