#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 11:24:22 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
39.006	500	39.032	488
39.058	500	39.082	486
39.108	499	39.133	487
39.159	499	39.184	490
39.209	500	39.235	496
39.260	499	39.285	503
39.311	500	39.336	514
39.362	500	39.387	525
39.412	500	39.438	536
39.463	500	39.489	548
39.513	500	39.539	560
39.565	501	39.590	571
39.615	500	39.640	579
39.666	500	39.692	586
39.716	500	39.742	590
39.767	500	39.793	592
39.817	499	39.843	591
39.869	500	39.894	588
39.919	500	39.944	582
39.970	500	39.996	574
40.020	500	40.046	564
40.071	499	40.097	554
40.122	500	40.147	542
40.173	500	40.198	530
40.223	500	40.249	519
40.274	501	40.300	508
40.324	500	40.350	500
40.376	500	40.401	494
40.426	500	40.451	489
40.477	501	40.503	487
40.527	500	40.553	489
40.578	500	40.604	492
40.628	499	40.654	497
40.680	499	40.705	506
40.730	499	40.755	516
40.781	500	40.807	527
40.831	500	40.857	538
40.882	500	40.908	550
40.933	500	40.958	561
40.984	500	41.009	570
41.034	500	41.060	579
41.085	501	41.111	586
41.135	501	41.161	590
41.187	499	41.212	591
41.237	500	41.262	590
41.288	501	41.314	587
41.338	501	41.364	581
41.389	500	41.415	572
41.439	500	41.465	562
41.491	500	41.516	551
41.541	500	41.566	540
41.592	500	41.618	529
41.642	500	41.668	518
41.693	500	41.719	508
41.744	500	41.769	500
41.795	500	41.820	494
41.845	500	41.871	490
41.896	500	41.922	489
41.946	500	41.972	490
41.998	500	42.023	494
42.048	500	42.073	500
42.099	500	42.125	508
42.149	500	42.175	518
42.200	499	42.226	528
42.250	500	42.276	539
42.302	500	42.327	551
42.352	500	42.377	562
42.403	500	42.429	571
42.453	500	42.479	579
42.504	500	42.530	585
42.555	500	42.580	588
42.606	501	42.631	591
42.657	501	42.682	589
42.707	501	42.733	584
42.758	501	42.783	579
42.809	501	42.834	571
42.860	500	42.884	561
42.910	500	42.936	550
42.961	500	42.986	539
43.011	500	43.037	527
43.063	500	43.087	517
43.113	500	43.138	508
43.164	499	43.188	500
43.214	499	43.240	494
43.265	500	43.290	491
43.315	500	43.341	490
43.367	499	43.391	491
43.417	500	43.442	495
43.468	500	43.493	502
43.518	500	43.544	510
43.569	500	43.594	520
43.620	500	43.645	531
43.671	500	43.695	541
43.721	500	43.747	552
43.772	500	43.797	563
43.822	500	43.848	572
43.874	500	43.898	580
43.924	500	43.949	585
43.975	501	43.999	588
44.025	500	44.051	589
44.076	500	44.101	587
44.126	500	44.152	582
44.178	501	44.202	576
44.228	500	44.253	568
44.279	500	44.304	559
44.329	501	44.355	549
44.380	500	44.405	537
44.431	500	44.456	527
44.482	500	44.506	516
44.532	500	44.558	507
44.583	501	44.608	500
44.633	500	44.659	495
44.685	500	44.709	492
44.735	500	44.760	491
44.786	500	44.810	493
44.836	499	44.862	497
44.887	500	44.912	504
44.937	499	44.963	512
44.989	500	45.013	522
45.039	500	45.064	532
45.090	501	45.115	543
45.140	500	45.166	553
45.191	501	45.216	563
45.242	501	45.267	572
45.293	501	45.317	579
45.343	501	45.369	584
45.394	501	45.419	587
45.444	500	45.470	587
45.496	501	45.520	586
45.546	501	45.571	581
45.597	501	45.621	575
45.647	500	45.673	567
45.698	500	45.724	557
45.748	500	45.774	547
45.800	500	45.825	535
45.850	500	45.875	525
45.901	500	45.927	515
45.951	500	45.977	507
46.002	500	46.028	500
46.053	501	46.078	496
46.104	501	46.129	492
46.154	501	46.180	492
46.205	500	46.231	495
46.255	500	46.281	499
46.307	500	46.332	505
46.357	500	46.382	515
46.408	500	46.434	523
46.458	500	46.484	533
46.509	500	46.535	545
46.559	500	46.585	555
46.611	500	46.636	564
46.661	500	46.686	572
46.712	501	46.738	580
46.762	501	46.788	583
46.813	503	46.839	586
46.864	501	46.889	587
46.915	501	46.940	584
46.965	501	46.991	579
47.016	500	47.042	572
47.066	501	47.092	565
47.118	500	47.143	555
47.168	501	47.193	545
47.219	500	47.245	535
47.269	500	47.295	524
47.320	500	47.346	515
47.370	500	47.396	507
47.422	499	47.447	500
47.472	500	47.497	496
47.523	500	47.549	494
47.573	500	47.599	494
47.624	500	47.650	496
47.675	501	47.700	501
47.726	499	47.751	508
47.776	500	47.802	516
47.827	500	47.853	525
47.877	501	47.903	535
47.929	501	47.954	545
47.979	501	48.004	556
48.030	501	48.056	565
48.080	500	48.106	573
48.131	501	48.157	580
48.181	501	48.207	583
48.233	501	48.258	585
48.283	500	48.308	585
48.334	501	48.360	583
48.384	500	48.410	577
48.435	500	48.461	571
48.486	501	48.511	563
48.537	501	48.562	554
48.587	501	48.613	544
48.638	501	48.664	533
48.688	501	48.714	524
48.740	501	48.765	515
48.790	500	48.815	507
48.841	500	48.867	501
48.891	501	48.917	497
48.942	500	48.968	495
48.993	500	49.018	495
49.044	501	49.069	498
49.094	500	49.119	502
49.145	500	49.171	509
49.195	500	49.221	517
49.246	501	49.272	526
49.297	500	49.322	537
49.348	501	49.373	547
49.398	501	49.424	557
49.449	501	49.475	565
49.499	501	49.525	573
49.551	500	49.576	579
49.601	501	49.626	583
49.652	501	49.678	585
49.702	500	49.728	584
49.753	501	49.779	581
49.804	501	49.829	576
49.855	501	49.880	569
49.905	500	49.930	561
49.956	501	49.982	552
50.006	500	50.032	543
50.057	501	50.083	532
50.108	500	50.133	523
50.159	500	50.184	514
50.210	500	50.235	507
50.260	500	50.286	501
50.311	500	50.336	497
50.362	500	50.387	496
50.413	501	50.437	497
50.463	501	50.489	499
50.514	500	50.539	504
50.564	500	50.590	512
50.616	501	50.640	519
50.666	500	50.691	528
50.717	500	50.741	538
50.767	501	50.793	548
50.818	501	50.843	557
50.868	500	50.894	566
50.920	501	50.944	573
50.970	501	50.995	578
51.021	501	51.046	582
51.071	501	51.097	583
51.122	501	51.147	582
51.173	501	51.198	579
51.224	501	51.248	574
51.274	501	51.300	568
51.325	501	51.350	560
51.375	501	51.401	550
51.427	501	51.451	541
51.477	501	51.502	532
51.528	500	51.553	522
51.578	500	51.604	514
51.629	501	51.654	507
51.679	500	51.705	502
51.731	500	51.755	498
51.781	501	51.806	497
51.832	500	51.857	499
51.882	500	51.908	501
51.933	501	51.958	506
51.984	501	52.009	513
52.035	501	52.059	521
52.085	501	52.111	530
52.136	500	52.161	539
52.186	501	52.212	549
52.238	500	52.262	558
52.288	500	52.313	566
52.339	500	52.364	573
52.389	501	52.415	577
52.440	500	52.465	581
52.490	501	52.516	582
52.542	501	52.566	581
52.592	501	52.617	579
52.643	501	52.668	573
52.693	500	52.719	565
52.744	501	52.769	558
52.795	501	52.820	549
52.846	501	52.870	540
52.896	501	52.922	530
52.947	501	52.972	521
52.997	501	53.023	513
53.049	501	53.073	507
53.099	500	53.124	503
53.150	500	53.175	499
53.200	501	53.226	498
