#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.619	386	32.645	587
32.669	391	32.695	580
32.720	400	32.746	571
32.771	413	32.796	558
32.822	427	32.847	543
32.872	444	32.898	526
32.923	462	32.949	510
32.973	481	32.999	494
33.025	497	33.050	479
33.075	513	33.100	467
33.126	525	33.152	456
33.176	534	33.202	451
33.227	540	33.253	448
33.278	541	33.303	449
33.329	538	33.354	454
33.379	531	33.405	462
33.430	519	33.456	474
33.480	505	33.506	488
33.531	489	33.557	503
33.582	471	33.607	520
33.633	453	33.658	536
33.683	435	33.709	551
33.734	419	33.760	565
33.784	406	33.810	575
33.836	396	33.861	584
33.886	390	33.911	588
33.937	387	33.963	588
33.987	388	34.013	585
34.038	394	34.064	578
34.089	403	34.114	568
34.140	416	34.165	555
34.190	432	34.216	541
34.241	448	34.267	525
34.291	467	34.317	508
34.342	484	34.368	492
34.393	500	34.418	477
34.444	515	34.469	466
34.494	526	34.520	457
34.545	534	34.571	451
34.595	538	34.621	449
34.647	539	34.672	450
34.697	534	34.722	456
34.748	526	34.774	464
34.798	515	34.824	476
34.849	500	34.875	491
34.900	485	34.925	506
34.951	467	34.976	522
35.001	449	35.027	539
35.052	433	35.078	555
35.102	417	35.128	567
35.153	405	35.179	577
35.204	396	35.229	583
35.255	390	35.280	588
35.305	388	35.331	586
35.356	391	35.382	584
35.406	398	35.432	576
35.458	408	35.483	565
35.508	421	35.533	553
35.559	436	35.585	536
35.609	452	35.635	521
35.660	471	35.686	505
35.711	488	35.736	490
35.762	503	35.787	477
35.812	517	35.838	465
35.863	527	35.889	456
35.913	535	35.939	451
35.965	537	35.990	450
36.015	536	36.040	452
36.066	531	36.091	458
36.116	523	36.142	468
36.167	511	36.193	480
36.217	496	36.243	493
36.269	480	36.294	509
36.319	463	36.344	525
36.370	446	36.396	540
36.420	430	36.446	555
36.471	415	36.497	567
36.522	403	36.547	577
36.573	396	36.598	584
36.623	391	36.649	586
36.674	390	36.700	586
36.724	394	36.750	581
36.776	400	36.801	573
36.826	411	36.851	562
36.877	424	36.902	549
36.927	440	36.953	534
36.978	457	37.004	519
37.028	474	37.054	503
37.080	490	37.105	487
37.130	505	37.155	475
37.181	519	37.207	464
37.231	528	37.257	456
37.282	534	37.308	452
37.333	536	37.358	451
37.384	534	37.409	454
37.434	528	37.460	461
37.485	520	37.511	470
37.535	507	37.561	482
37.587	493	37.612	496
37.637	475	37.662	512
37.688	459	37.713	528
37.738	442	37.764	543
37.789	427	37.815	556
37.839	413	37.865	567
37.891	401	37.916	576
37.941	395	37.966	583
37.992	391	38.018	584
38.042	392	38.068	583
38.093	397	38.119	578
38.144	403	38.169	570
38.195	415	38.220	560
38.245	428	38.271	546
38.296	444	38.322	531
38.346	462	38.372	515
38.398	478	38.423	500
38.448	494	38.473	486
38.499	508	38.525	474
38.549	520	38.575	464
38.600	528	38.626	456
38.650	533	38.676	452
38.702	535	38.727	453
38.752	532	38.777	456
38.803	525	38.829	463
38.853	515	38.879	473
38.904	502	38.930	484
38.955	488	38.980	499
39.006	472	39.031	514
39.056	455	39.082	529
39.107	439	39.133	545
39.157	425	39.183	558
39.209	411	39.234	569
39.259	402	39.284	577
39.310	395	39.336	582
39.360	392	39.386	584
39.411	393	39.437	581
39.461	399	39.487	576
39.513	407	39.538	567
39.563	419	39.588	556
39.614	433	39.640	544
39.664	448	39.690	528
39.715	465	39.741	514
39.766	482	39.791	498
39.817	497	39.842	485
39.867	510	39.893	473
39.918	521	39.944	464
39.968	529	39.994	457
40.020	533	40.045	454
40.070	534	40.095	455
40.121	529	40.147	459
40.171	523	40.197	466
40.222	512	40.248	476
40.272	499	40.298	488
40.324	485	40.349	501
40.374	468	40.399	517
40.425	451	40.451	532
40.475	436	40.501	546
40.526	422	40.552	559
40.578	409	40.602	568
40.628	400	40.653	577
40.679	395	40.704	580
40.729	393	40.755	582
40.780	396	40.805	580
40.831	401	40.856	574
40.882	410	40.906	564
40.932	422	40.958	554
40.983	437	41.008	541
41.033	452	41.059	527
41.085	469	41.109	511
41.135	484	41.160	496
41.186	499	41.210	484
41.236	512	41.262	473
41.287	522	41.312	463
41.337	529	41.363	458
41.389	533	41.413	455
41.439	532	41.464	457
41.490	527	41.515	461
41.540	519	41.566	469
41.591	509	41.616	479
41.642	496	41.667	491
41.693	480	41.717	505
41.743	464	41.769	520
41.794	448	41.819	534
41.844	433	41.870	548
41.896	419	41.920	561
41.946	408	41.971	569
41.997	400	42.021	577
42.047	395	42.073	580
