#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar 24 12:07:43 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
19.490	507	19.516	451
19.541	507	19.566	448
19.592	507	19.617	448
19.642	506	19.668	452
19.693	506	19.719	459
19.743	507	19.769	467
19.795	507	19.820	478
19.845	506	19.870	490
19.896	507	19.921	503
19.946	506	19.972	516
19.997	507	20.023	529
20.047	507	20.073	540
20.099	507	20.124	551
20.149	507	20.174	558
20.200	507	20.226	564
20.250	507	20.276	565
20.301	507	20.327	564
20.352	507	20.377	560
20.403	508	20.428	554
20.453	507	20.479	545
20.504	507	20.530	534
20.554	507	20.580	523
20.606	507	20.631	510
20.656	506	20.681	497
20.707	507	20.732	485
20.757	507	20.783	475
20.808	507	20.834	464
20.858	506	20.884	457
20.910	507	20.935	453
20.960	506	20.985	450
21.011	506	21.037	451
21.061	507	21.087	454
21.112	506	21.138	461
21.163	506	21.188	469
21.214	507	21.239	480
21.264	506	21.290	491
21.315	507	21.341	504
21.365	507	21.391	516
21.417	507	21.442	528
21.467	507	21.492	539
21.518	507	21.544	549
21.568	507	21.594	557
21.619	507	21.645	561
21.669	507	21.695	563
21.721	507	21.746	563
21.771	507	21.796	558
21.822	507	21.848	552
21.872	508	21.898	544
21.923	507	21.949	533
21.974	507	21.999	522
22.025	507	22.050	509
22.075	507	22.101	497
22.126	507	22.152	486
22.176	507	22.202	474
22.228	507	22.253	466
22.278	507	22.303	459
22.329	507	22.355	453
22.379	506	22.405	451
22.430	507	22.456	453
22.480	507	22.506	457
22.532	506	22.557	462
22.582	507	22.607	471
22.633	506	22.659	481
22.683	506	22.709	493
22.734	506	22.760	505
22.785	507	22.810	516
22.836	507	22.861	528
22.886	507	22.912	539
22.937	507	22.963	548
22.987	507	23.013	555
23.039	507	23.064	560
23.089	507	23.114	561
23.140	507	23.166	560
23.190	507	23.216	556
23.241	507	23.267	551
23.291	507	23.317	543
23.343	507	23.368	532
23.393	507	23.418	521
23.444	507	23.470	508
23.494	507	23.520	497
23.545	506	23.571	486
23.597	506	23.621	475
23.647	506	23.672	466
23.698	507	23.723	459
23.748	507	23.774	456
23.799	506	23.824	453
23.850	506	23.875	455
23.901	506	23.925	458
23.951	506	23.977	464
24.002	506	24.027	473
24.052	507	24.078	482
24.104	507	24.128	494
24.154	506	24.179	505
24.205	507	24.229	516
24.255	506	24.281	528
24.306	507	24.331	538
24.356	507	24.382	548
24.408	507	24.432	555
24.458	507	24.483	559
24.509	508	24.534	560
24.559	507	24.585	559
24.610	507	24.635	555
24.661	507	24.686	549
24.712	507	24.736	540
24.762	507	24.788	531
24.813	507	24.838	519
24.863	508	24.889	508
24.915	507	24.939	497
